x,y,value
0,0,115.91706
0,1,115.55744
0,2,112.35146
0,3,95.22464
0,4,114.84024000000001
0,5,116.27736
0,6,117.0
0,7,115.55744
0,8,114.48266
0,9,110.24474
0,10,117.0
0,11,115.91706
0,12,115.91706
0,13,115.55744
0,14,116.27736
0,15,115.91706
0,16,115.55744
0,17,115.1985
0,18,115.1985
0,19,113.05914
0,20,114.48266
0,21,117.0
0,22,115.55744
0,23,115.55744
0,24,115.55744
0,25,115.1985
0,26,115.91706
0,27,115.1985
0,28,115.1985
0,29,114.84024000000001
0,30,113.05914
0,31,110.24474
0,32,116.27736
0,33,117.0
0,34,115.91706
0,35,115.1985
0,36,116.27736
0,37,115.55744
0,38,115.91706
0,39,115.55744
0,40,115.91706
0,41,114.84024000000001
0,42,111.64649999999999
0,43,110.24474
0,44,117.0
0,45,117.0
0,46,115.1985
0,47,102.06266
0,48,85.08506
0,49,83.61336
0,50,90.52394
0,51,104.07145999999999
0,52,113.76954
0,53,115.91706
0,54,115.91706
0,55,115.55744
0,56,113.05914
0,57,110.24474
0,58,115.55744
0,59,117.0
0,60,115.55744
0,61,116.27736
0,62,116.27736
0,63,115.1985
0,64,116.27736
0,65,115.91706
0,66,115.91706
0,67,115.91706
0,68,114.12576
0,69,111.64649999999999
0,70,117.0
0,71,117.0
0,72,117.0
0,73,115.55744
0,74,117.0
0,75,116.27736
0,76,115.91706
0,77,115.1985
0,78,115.55744
0,79,114.84024000000001
0,80,113.05914
0,81,109.896
0,82,115.1985
0,83,117.0
0,84,116.27736
0,85,115.1985
0,86,115.55744
0,87,115.1985
0,88,115.1985
0,89,115.55744
0,90,115.1985
0,91,114.84024000000001
0,92,114.84024000000001
0,93,111.64649999999999
0,94,117.0
0,95,117.0
0,96,115.91706
0,97,115.1985
0,98,115.91706
0,99,115.91706
0,100,115.91706
0,101,115.1985
0,102,115.55744
0,103,115.91706
0,104,116.27736
0,105,115.55744
0,106,115.55744
0,107,114.48266
0,108,115.55744
0,109,114.48266
0,110,115.1985
0,111,117.0
0,112,115.55744
0,113,115.55744
0,114,115.91706
0,115,115.55744
0,116,116.27736
0,117,115.55744
0,118,115.91706
0,119,115.55744
0,120,115.91706
0,121,115.1985
0,122,114.48266
0,123,115.55744
0,124,116.27736
0,125,115.55744
0,126,115.55744
0,127,115.1985
0,128,116.27736
0,129,113.414
0,130,115.55744
0,131,110.24474
0,132,115.91706
0,133,114.48266
0,134,115.55744
0,135,117.0
0,136,115.55744
0,137,116.27736
0,138,115.55744
0,139,116.63834
0,140,115.1985
0,141,115.1985
0,142,116.63834
0,143,115.91706
0,144,115.91706
0,145,115.91706
0,146,116.63834
0,147,115.91706
0,148,115.55744
0,149,115.55744
0,150,115.55744
0,151,114.48266
0,152,115.55744
0,153,113.05914
0,154,115.91706
0,155,117.0
0,156,115.1985
0,157,115.55744
0,158,115.91706
0,159,115.91706
0,160,115.55744
0,161,116.27736
0,162,116.27736
0,163,113.414
0,164,115.1985
0,165,115.55744
0,166,115.1985
0,167,115.1985
0,168,115.55744
0,169,115.1985
0,170,115.55744
0,171,115.55744
